股票代號,股票名稱_昨,股數_昨,持股權重_昨,股票名稱_今,股數_今,持股權重_今,_merge,股數變動,持股權重變動
1210,大成,754000,0.59,大成,754000,0.51,both,0,-0.07999999999999996
1303,南亞,3541000,1.77,南亞,3791000,1.87,both,250000,0.10000000000000009
1560,中砂,1000,0.0,中砂,1000,0.0,both,0,0.0
2059,川湖,86000,3.47,川湖,96000,3.57,both,10000,0.09999999999999964
2308,台達電,687000,5.96,台達電,737000,5.83,both,50000,-0.1299999999999999
2317,鴻海,1704000,4.51,鴻海,1854000,4.55,both,150000,0.040000000000000036
2327,國巨,1000,0.01,國巨,1000,0.01,both,0,0.0
2330,台積電,576000,9.22,台積電,624000,9.12,both,48000,-0.10000000000000142
2345,智邦,407000,5.48,智邦,447000,5.65,both,40000,0.16999999999999993
2357,華碩,399000,3.7,華碩,419000,3.44,both,20000,-0.26000000000000023
2368,金像電,553000,3.08,金像電,603000,3.29,both,50000,0.20999999999999996
2382,廣達,562000,2.22,廣達,454000,1.63,both,-108000,-0.5900000000000003
2383,台光電,300000,4.7,台光電,330000,4.72,both,30000,0.019999999999999574
2439,美律,1000,0.0,美律,1000,0.0,both,0,0.0
2454,聯發科,136000,2.5,聯發科,148000,2.49,both,12000,-0.009999999999999787
2609,陽明,455000,0.38,陽明,455000,0.34,both,0,-0.03999999999999998
2618,長榮航,430000,0.23,長榮航,430000,0.21,both,0,-0.020000000000000018
2884,玉山金,6155010,2.79,玉山金,6555010,2.69,both,400000,-0.10000000000000009
2886,兆豐金,133000,0.07,兆豐金,133000,0.07,both,0,0.0
2891,中信金,774000,0.45,中信金,774000,0.41,both,0,-0.040000000000000036
3008,大立光,1000,0.03,大立光,1000,0.03,both,0,0.0
3017,奇鋐,489000,7.26,奇鋐,534000,7.15,both,45000,-0.10999999999999943
3044,健鼎,574000,2.44,健鼎,629000,2.56,both,55000,0.1200000000000001
3045,台灣大,43000,0.06,台灣大,43000,0.06,both,0,0.0
3217,優群,172000,0.39,優群,172000,0.36,both,0,-0.030000000000000027
3231,緯創,1247000,2.11,緯創,1427000,2.25,both,180000,0.14000000000000012
3515,華擎,1000,0.0,華擎,1000,0.0,both,0,0.0
3533,嘉澤,68000,1.38,嘉澤,68000,1.24,both,0,-0.1399999999999999
3605,宏致,637000,0.56,宏致,637000,0.53,both,0,-0.030000000000000027
3653,健策,157000,3.23,健策,172000,3.25,both,15000,0.020000000000000018
3661,世芯-KY,90000,4.71,世芯-KY,105000,5.09,both,15000,0.3799999999999999
3665,貿聯-KY,493848,6.54,貿聯-KY,538848,6.55,both,45000,0.009999999999999787
3706,神達,1465000,1.65,神達,1465000,1.54,both,0,-0.10999999999999988
4770,上品,287000,1.2,上品,321000,1.23,both,34000,0.030000000000000027
4958,臻鼎-KY,919000,1.61,臻鼎-KY,919000,1.61,both,0,0.0
5274,信驊,22000,1.43,信驊,22000,1.29,both,0,-0.1399999999999999
5347,世界,232000,0.3,世界,232000,0.27,both,0,-0.02999999999999997
6139,亞翔,61000,0.28,亞翔,61000,0.25,both,0,-0.030000000000000027
6143,振曜,343000,0.56,振曜,343000,0.49,both,0,-0.07000000000000006
6223,旺矽,34000,0.53,旺矽,34000,0.48,both,0,-0.050000000000000044
6274,台燿,212000,0.79,台燿,212000,0.73,both,0,-0.06000000000000005
6278,台表科,1000,0.0,台表科,1000,0.0,both,0,0.0
6510,精測,93000,1.22,精測,93000,1.11,both,0,-0.10999999999999988
6515,穎崴,85000,1.33,穎崴,85000,1.21,both,0,-0.1200000000000001
6669,緯穎,1000,0.04,緯穎,1000,0.04,both,0,0.0
6757,台灣虎航,192000,0.22,台灣虎航,192000,0.2,both,0,-0.01999999999999999
8046,南電,927000,2.13,南電,1165000,2.61,both,238000,0.48
8069,元太,1000,0.0,元太,1000,0.0,both,0,0.0
8210,勤誠,370000,2.94,勤誠,410000,3.06,both,40000,0.1200000000000001
8996,高力,193000,0.81,高力,193000,0.81,both,0,0.0
